Date,Price,Open,High,Low,Vol,Change %
9/24/2019,0.2334,0.2676,0.2724,0.2252,30900000000,-12.76%
9/23/2019,0.2675,0.2764,0.2862,0.2665,17200000000,-3.21%
9/22/2019,0.2764,0.2897,0.2898,0.2697,13900000000,-4.59%
9/21/2019,0.2897,0.2937,0.2973,0.2866,14400000000,-1.38%
9/20/2019,0.2937,0.3006,0.3015,0.2842,15600000000,-2.30%
9/19/2019,0.3006,0.3135,0.3135,0.284,26400000000,-4.09%
9/18/2019,0.3135,0.2854,0.3257,0.2852,26400000000,9.90%
9/17/2019,0.2852,0.261,0.2976,0.2596,20800000000,9.28%
9/16/2019,0.261,0.2603,0.263,0.2572,773770000,0.29%
9/15/2019,0.2603,0.2613,0.2641,0.2589,800650000,-0.39%
9/14/2019,0.2613,0.2553,0.2651,0.2539,994260000,2.36%
9/13/2019,0.2553,0.254,0.2559,0.2519,796180000,0.48%
9/12/2019,0.2541,0.2552,0.2564,0.251,824050000,-0.44%
9/11/2019,0.2552,0.2587,0.2604,0.2513,932280000,-1.35%
9/10/2019,0.2587,0.2587,0.2632,0.2542,931340000,0.00%
9/9/2019,0.2587,0.2623,0.264,0.2566,10800000000,-1.39%
9/8/2019,0.2623,0.26,0.2657,0.2565,10400000000,0.89%
9/7/2019,0.26,0.2513,0.2628,0.2503,879470000,3.42%
9/6/2019,0.2514,0.2562,0.2586,0.248,10400000000,-1.87%
9/5/2019,0.2562,0.2585,0.2592,0.254,936090000,-0.88%
9/4/2019,0.2584,0.2625,0.2627,0.2567,950190000,-1.56%
9/3/2019,0.2625,0.2609,0.2661,0.258,10000000000,0.64%
9/2/2019,0.2609,0.2559,0.2639,0.253,936450000,1.94%
9/1/2019,0.2559,0.2576,0.2588,0.251,781300000,-0.66%
8/31/2019,0.2576,0.2555,0.2599,0.2534,828470000,0.81%
8/30/2019,0.2555,0.2569,0.2572,0.2525,893370000,-0.52%
8/29/2019,0.2568,0.2563,0.262,0.2478,11300000000,0.19%
8/28/2019,0.2564,0.2696,0.2707,0.2477,11600000000,-4.88%
8/27/2019,0.2695,0.2704,0.2705,0.2655,703190000,-0.32%
8/26/2019,0.2704,0.2695,0.2794,0.2672,10900000000,0.31%
8/25/2019,0.2695,0.2714,0.2758,0.2663,848020000,-0.68%
8/24/2019,0.2714,0.2767,0.2773,0.2648,878390000,-1.92%
8/23/2019,0.2767,0.2705,0.2767,0.2677,901740000,2.28%
8/22/2019,0.2705,0.2659,0.274,0.2606,12000000000,1.73%
8/21/2019,0.2659,0.2742,0.2745,0.2592,19700000000,-3.03%
8/20/2019,0.2742,0.2818,0.2822,0.2702,23700000000,-2.70%
8/19/2019,0.2818,0.2829,0.2902,0.2762,26900000000,-0.37%
8/18/2019,0.2829,0.2654,0.2911,0.2636,23500000000,6.58%
8/17/2019,0.2654,0.2606,0.2693,0.2581,28400000000,1.85%
8/16/2019,0.2606,0.264,0.265,0.2553,22800000000,-1.32%
8/15/2019,0.2641,0.2632,0.2684,0.2529,22700000000,0.37%
8/14/2019,0.2631,0.298,0.2985,0.2402,25500000000,-11.67%
8/13/2019,0.2979,0.3007,0.301,0.2934,920430000,-0.92%
8/12/2019,0.3007,0.3029,0.305,0.2983,802180000,-0.73%
8/11/2019,0.3029,0.2992,0.3059,0.2955,849000000,1.21%
8/10/2019,0.2992,0.2966,0.3053,0.2926,11200000000,0.92%
8/9/2019,0.2965,0.3084,0.3089,0.2904,11000000000,-3.85%
8/8/2019,0.3084,0.3109,0.3119,0.3052,971560000,-0.85%
8/7/2019,0.311,0.3119,0.3166,0.3081,961190000,-0.29%
8/6/2019,0.3119,0.3222,0.324,0.3085,10700000000,-3.16%
8/5/2019,0.3221,0.3183,0.3307,0.3183,12300000000,1.19%
8/4/2019,0.3183,0.316,0.3225,0.3114,10200000000,0.73%
8/3/2019,0.316,0.3117,0.3173,0.311,848310000,1.41%
8/2/2019,0.3116,0.3157,0.3176,0.3091,876750000,-1.27%
8/1/2019,0.3157,0.3197,0.3197,0.3117,898940000,-1.25%
7/31/2019,0.3197,0.3182,0.3232,0.3155,891750000,0.46%
7/30/2019,0.3182,0.3102,0.3212,0.3072,892800000,2.59%
7/29/2019,0.3102,0.3117,0.3142,0.3071,800800000,-0.49%
7/28/2019,0.3117,0.3099,0.3136,0.3009,964970000,0.57%
7/27/2019,0.3099,0.3234,0.3259,0.3061,10300000000,-4.15%
7/26/2019,0.3234,0.3133,0.3249,0.3076,924790000,3.20%
7/25/2019,0.3133,0.3155,0.3219,0.3119,974670000,-0.67%
7/24/2019,0.3154,0.3089,0.3186,0.3041,11300000000,2.13%
7/23/2019,0.3089,0.3213,0.3213,0.306,11100000000,-3.86%
7/22/2019,0.3213,0.3307,0.3321,0.3161,11300000000,-2.85%
7/21/2019,0.3307,0.3328,0.3347,0.3211,11000000000,-0.65%
7/20/2019,0.3329,0.3187,0.3403,0.3185,12500000000,4.46%
7/19/2019,0.3187,0.3203,0.322,0.3103,11400000000,-0.51%
7/18/2019,0.3203,0.3101,0.3258,0.3041,15400000000,3.27%
7/17/2019,0.3101,0.2953,0.3236,0.2932,17300000000,5.02%
7/16/2019,0.2953,0.3129,0.3194,0.2861,17500000000,-5.62%
7/15/2019,0.3129,0.3043,0.3231,0.295,17800000000,2.76%
7/14/2019,0.3045,0.332,0.3351,0.3001,15900000000,-8.30%
7/13/2019,0.3321,0.3435,0.3442,0.3241,11500000000,-3.33%
7/12/2019,0.3435,0.329,0.3489,0.3207,15400000000,4.44%
7/11/2019,0.3289,0.3614,0.3623,0.3194,22000000000,-9.00%
7/10/2019,0.3614,0.3933,0.3961,0.3443,22100000000,-8.09%
7/9/2019,0.3933,0.401,0.4065,0.3896,12400000000,-1.94%
7/8/2019,0.401,0.3966,0.4027,0.3918,992340000,1.12%
7/7/2019,0.3966,0.3902,0.3997,0.3873,11100000000,1.64%
7/6/2019,0.3902,0.379,0.4096,0.3788,13500000000,2.98%
7/5/2019,0.3789,0.3877,0.3888,0.3749,12000000000,-2.26%
7/4/2019,0.3877,0.4043,0.4045,0.3864,12000000000,-4.10%
7/3/2019,0.4043,0.3983,0.4051,0.3951,10700000000,1.50%
7/2/2019,0.3983,0.407,0.4106,0.3846,14800000000,-2.12%
7/1/2019,0.4069,0.397,0.4212,0.3895,15900000000,2.51%
6/30/2019,0.397,0.4267,0.4283,0.3965,15000000000,-6.98%
6/29/2019,0.4267,0.4263,0.4296,0.405,16000000000,0.10%
6/28/2019,0.4263,0.41,0.4267,0.4059,16300000000,4.04%
6/27/2019,0.4098,0.4674,0.4707,0.3949,29600000000,-12.33%
6/26/2019,0.4674,0.4681,0.4958,0.4533,28700000000,-0.16%
6/25/2019,0.4681,0.4739,0.4764,0.4577,17300000000,-1.23%
6/24/2019,0.4739,0.4702,0.4755,0.451,14900000000,0.80%
